Season,Player,Pos,Week,Game,Team,Opp,Fantasy.Points,,,
14,Tom Brady,QB,1,1,NE,MIA,10.26,,,17.37875
14,Tom Brady,QB,2,2,NE,MIN,9.96,,,
14,Tom Brady,QB,3,3,NE,OAK,12.66,,,
14,Tom Brady,QB,4,4,NE,KC,4.36,,,
14,Tom Brady,QB,5,5,NE,CIN,20.98,,,
14,Tom Brady,QB,6,6,NE,BUF,30.74,,,
14,Tom Brady,QB,7,7,NE,NYJ,22.44,,,
14,Tom Brady,QB,8,8,NE,CHI,34.16,,,
14,Tom Brady,QB,9,9,NE,DEN,27.72,,,
14,Tom Brady,QB,11,10,NE,IND,14.08,,,
14,Tom Brady,QB,12,11,NE,DET,19.96,,,
14,Tom Brady,QB,13,12,NE,GB,17.7,,,
14,Tom Brady,QB,14,13,NE,SD,19.38,,,
14,Tom Brady,QB,15,14,NE,MIA,19.28,,,
14,Tom Brady,QB,16,15,NE,NYJ,10.28,,,
14,Tom Brady,QB,17,16,NE,BUF,4.1,,,
